Datetime,Open,High,Low,Close,Volume
2024-04-15 03:45:00+00:00,48072.64,48185.51,48027.17,48123.21,0
2024-04-15 03:50:00+00:00,48123.21,48184.93,48092.23,48183.41,0
2024-04-15 03:55:00+00:00,48183.41,48255.07,48176.98,48240.08,0
2024-04-15 04:00:00+00:00,48240.08,48247.16,48171.93,48176.81,0
2024-04-15 04:05:00+00:00,48176.81,48217.3,48056.91,48069.63,0
2024-04-15 04:10:00+00:00,48069.63,48132.89,47874.02,47908.43,0
2024-04-15 04:15:00+00:00,47908.43,47977.81,47856.3,47932.53,0
2024-04-15 04:20:00+00:00,47932.53,47933.5,47878.9,47913.77,0
2024-04-15 04:25:00+00:00,47913.77,48050.69,47908.63,47935.45,0
2024-04-15 04:30:00+00:00,47935.45,48038.17,47870.88,47952.37,0
2024-04-15 04:35:00+00:00,47952.37,48005.61,47920.16,47981.1,0
2024-04-15 04:40:00+00:00,47981.1,47995.19,47946.36,47981.95,0
2024-04-15 04:45:00+00:00,47982.62,48061.98,47978.83,48023.79,0
2024-04-15 04:50:00+00:00,48023.79,48131.48,47962.97,48079.82,0
2024-04-15 04:55:00+00:00,48079.82,48135.88,48072.15,48119.46,0
2024-04-15 05:00:00+00:00,48119.46,48138.35,48037.0,48084.47,0
2024-04-15 05:05:00+00:00,48084.47,48150.88,47962.29,48035.5,0
2024-04-15 05:10:00+00:00,48035.5,48045.57,47927.16,47959.8,0
2024-04-15 05:15:00+00:00,47959.8,48054.64,47940.35,47976.71,0
2024-04-15 05:20:00+00:00,47976.71,48056.26,47914.21,47955.81,0
2024-04-15 05:25:00+00:00,47955.81,47994.36,47935.57,47983.43,0
2024-04-15 05:30:00+00:00,47983.43,48018.96,47982.78,48006.57,0
2024-04-15 05:35:00+00:00,48006.57,48088.98,47998.71,48028.1,0
2024-04-15 05:40:00+00:00,48028.1,48047.8,48022.8,48027.65,0
2024-04-15 05:45:00+00:00,48027.61,48060.26,47966.38,48020.58,0
2024-04-15 05:50:00+00:00,48020.58,48028.97,47986.0,48007.29,0
2024-04-15 05:55:00+00:00,48007.29,48044.71,47994.31,47998.05,0
2024-04-15 06:00:00+00:00,47998.05,48013.08,47956.85,48012.85,0
2024-04-15 06:05:00+00:00,48012.85,48138.25,47970.01,48036.1,0
2024-04-15 06:10:00+00:00,48036.1,48063.68,47963.65,48051.37,0
2024-04-15 06:15:00+00:00,48051.37,48115.04,48035.23,48075.09,0
2024-04-15 06:20:00+00:00,48075.09,48107.12,47992.04,48070.56,0
2024-04-15 06:25:00+00:00,48070.56,48116.37,48066.56,48068.44,0
2024-04-15 06:30:00+00:00,48068.44,48095.78,48004.47,48067.57,0
2024-04-15 06:35:00+00:00,48067.57,48132.19,47985.24,48067.9,0
2024-04-15 06:40:00+00:00,48067.9,48088.9,48039.96,48065.8,0
2024-04-15 06:45:00+00:00,48063.55,48081.93,48026.54,48031.13,0
2024-04-15 06:50:00+00:00,48031.13,48052.9,47971.56,47989.67,0
2024-04-15 06:55:00+00:00,47989.67,48028.15,47867.18,47956.47,0
2024-04-15 07:00:00+00:00,47956.47,47984.64,47876.79,47978.59,0
2024-04-15 07:05:00+00:00,47978.59,48038.08,47959.2,48013.12,0
2024-04-15 07:10:00+00:00,48013.12,48056.2,47938.42,48036.09,0
2024-04-15 07:15:00+00:00,48036.09,48138.56,47969.45,48070.18,0
2024-04-15 07:20:00+00:00,48070.18,48159.39,47990.08,48043.57,0
2024-04-15 07:25:00+00:00,48043.57,48051.26,47994.22,48024.93,0
2024-04-15 07:30:00+00:00,48024.93,48037.35,47983.29,47998.97,0
2024-04-15 07:35:00+00:00,47998.97,48028.38,47973.41,47979.9,0
2024-04-15 07:40:00+00:00,47979.9,47980.3,47972.95,47979.4,0
2024-04-15 07:45:00+00:00,47983.55,48098.39,47954.47,47993.89,0
2024-04-15 07:50:00+00:00,47993.89,48026.13,47956.8,48009.71,0
2024-04-15 07:55:00+00:00,48009.71,48028.07,47983.04,48021.73,0
2024-04-15 08:00:00+00:00,48021.73,48084.51,47966.05,48003.11,0
2024-04-15 08:05:00+00:00,48003.11,48042.23,47963.36,47977.13,0
2024-04-15 08:10:00+00:00,47977.13,47984.27,47874.47,47936.33,0
2024-04-15 08:15:00+00:00,47936.33,47960.4,47875.86,47942.0,0
2024-04-15 08:20:00+00:00,47942.0,48006.86,47913.7,47934.16,0
2024-04-15 08:25:00+00:00,47934.16,48089.14,47886.42,47943.11,0
2024-04-15 08:30:00+00:00,47943.11,48050.75,47890.61,47952.22,0
2024-04-15 08:35:00+00:00,47952.22,47994.75,47916.34,47961.59,0
2024-04-15 08:40:00+00:00,47961.59,47976.74,47915.72,47960.7,0
2024-04-15 08:45:00+00:00,47964.1,48056.55,47865.19,47895.02,0
2024-04-15 08:50:00+00:00,47895.02,48004.6,47777.2,47809.87,0
2024-04-15 08:55:00+00:00,47809.87,47844.63,47739.63,47744.11,0
2024-04-15 09:00:00+00:00,47744.11,47812.42,47698.31,47789.05,0
2024-04-15 09:05:00+00:00,47789.05,47934.04,47728.79,47856.1,0
2024-04-15 09:10:00+00:00,47856.1,47932.59,47812.13,47901.73,0
2024-04-15 09:15:00+00:00,47901.73,48014.9,47900.52,47970.72,0
2024-04-15 09:20:00+00:00,47970.72,48037.08,47883.17,47914.89,0
2024-04-15 09:25:00+00:00,47914.89,47930.3,47866.95,47868.7,0
2024-04-15 09:30:00+00:00,47868.7,47929.05,47708.92,47811.89,0
2024-04-15 09:35:00+00:00,47811.89,47852.11,47692.52,47771.93,0
2024-04-15 09:40:00+00:00,47771.93,47808.03,47768.25,47770.2,0
2024-04-15 09:45:00+00:00,47772.5,47812.6,47730.89,47783.15,0
2024-04-15 09:50:00+00:00,47783.15,47823.25,47730.31,47796.2,0
2024-04-15 09:55:00+00:00,47796.2,47818.68,47785.3,47808.65,0
2024-04-15 10:00:00+00:00,47808.65,47816.12,47730.12,47791.18,0
2024-04-15 10:05:00+00:00,47791.18,47802.94,47709.79,47767.51,0
2024-04-15 10:10:00+00:00,47767.51,47781.96,47671.16,47731.79,0
2024-04-15 10:15:00+00:00,47731.79,47742.14,47689.33,47737.01,0
