Datetime,Open,High,Low,Close,Volume
2024-04-15 03:45:00+00:00,1455.2,1457.97,1452.2,1452.83,0
2024-04-15 03:50:00+00:00,1452.83,1456.04,1447.32,1449.67,0
2024-04-15 03:55:00+00:00,1449.67,1450.21,1446.07,1446.73,0
2024-04-15 04:00:00+00:00,1446.73,1450.86,1445.24,1450.48,0
2024-04-15 04:05:00+00:00,1450.48,1456.29,1448.06,1455.72,0
2024-04-15 04:10:00+00:00,1455.72,1460.04,1452.85,1459.09,0
2024-04-15 04:15:00+00:00,1459.09,1465.06,1458.34,1463.59,0
2024-04-15 04:20:00+00:00,1463.59,1465.03,1460.03,1462.72,0
2024-04-15 04:25:00+00:00,1462.72,1464.65,1459.04,1461.32,0
2024-04-15 04:30:00+00:00,1461.32,1462.23,1458.43,1460.1,0
2024-04-15 04:35:00+00:00,1460.1,1460.81,1458.16,1458.89,0
2024-04-15 04:40:00+00:00,1458.89,1461.15,1457.78,1459.0,0
2024-04-15 04:45:00+00:00,1458.81,1466.24,1457.27,1465.72,72652
2024-04-15 04:50:00+00:00,1465.72,1476.82,1464.51,1474.77,84290
2024-04-15 04:55:00+00:00,1474.77,1483.08,1474.13,1482.23,97583
2024-04-15 05:00:00+00:00,1482.23,1483.57,1476.59,1476.86,137531
2024-04-15 05:05:00+00:00,1476.86,1477.52,1469.5,1469.57,110995
2024-04-15 05:10:00+00:00,1469.57,1469.87,1459.1,1459.36,66564
2024-04-15 05:15:00+00:00,1459.36,1463.57,1459.23,1463.21,85994
2024-04-15 05:20:00+00:00,1463.21,1463.58,1457.81,1457.86,149195
2024-04-15 05:25:00+00:00,1457.86,1465.84,1455.24,1464.74,56874
2024-04-15 05:30:00+00:00,1464.74,1471.11,1463.37,1471.05,84743
2024-04-15 05:35:00+00:00,1471.05,1476.31,1469.56,1475.87,79224
2024-04-15 05:40:00+00:00,1475.87,1477.59,1475.31,1476.15,128823
2024-04-15 05:45:00+00:00,1476.24,1479.57,1473.57,1475.47,71742
2024-04-15 05:50:00+00:00,1475.47,1476.68,1471.46,1474.66,82659
2024-04-15 05:55:00+00:00,1474.66,1475.48,1473.86,1474.08,36538
2024-04-15 06:00:00+00:00,1474.08,1476.01,1473.46,1475.45,82497
2024-04-15 06:05:00+00:00,1475.45,1480.96,1474.85,1477.83,48527
2024-04-15 06:10:00+00:00,1477.83,1481.26,1473.7,1479.24,85552
2024-04-15 06:15:00+00:00,1479.24,1482.9,1478.34,1481.38,52372
2024-04-15 06:20:00+00:00,1481.38,1481.98,1479.81,1480.89,76527
2024-04-15 06:25:00+00:00,1480.89,1482.86,1480.19,1480.75,33119
2024-04-15 06:30:00+00:00,1480.75,1481.31,1479.0,1480.2,78818
2024-04-15 06:35:00+00:00,1480.2,1481.73,1476.17,1479.8,30423
2024-04-15 06:40:00+00:00,1479.8,1480.0,1479.38,1479.95,73765
2024-04-15 06:45:00+00:00,1479.86,1481.47,1479.48,1480.5,73991
2024-04-15 06:50:00+00:00,1480.5,1481.84,1480.09,1481.39,68093
2024-04-15 06:55:00+00:00,1481.39,1483.6,1481.02,1482.12,74015
2024-04-15 07:00:00+00:00,1482.12,1483.96,1479.29,1480.73,74247
2024-04-15 07:05:00+00:00,1480.73,1483.95,1477.48,1478.5,91759
2024-04-15 07:10:00+00:00,1478.5,1479.7,1473.68,1475.21,71108
